+-----------+------------+------------+---------+-----------+
|  # Epoch  | Train_loss | Model_loss | DA_loss | Lambda_DA |
+-----------+------------+------------+---------+-----------+
|  epoch 1  |   0.4138   |   0.4138   |  0.0000 |   0.0000  |
|  epoch 2  |   0.2955   |   0.2955   |  0.0000 |   0.0000  |
|  epoch 3  |   0.2453   |   0.2453   |  0.0000 |   0.0000  |
|  epoch 4  |   0.2154   |   0.2154   |  0.0000 |   0.0000  |
|  epoch 5  |   0.1959   |   0.1959   |  0.0000 |   0.0000  |
|  epoch 6  |   0.1814   |   0.1814   |  0.0000 |   0.0000  |
|  epoch 7  |   0.1644   |   0.1644   |  0.0000 |   0.0000  |
|  epoch 8  |   0.1519   |   0.1519   |  0.0000 |   0.0000  |
|  epoch 9  |   0.1363   |   0.1363   |  0.0000 |   0.0000  |
|  epoch 10 |   1.5390   |   0.1764   |  1.3626 |   1.0000  |
|  epoch 11 |   1.5278   |   0.1557   |  1.3721 |   1.0000  |
|  epoch 12 |   1.4985   |   0.1373   |  1.3612 |   1.0000  |
|  epoch 13 |   1.5251   |   0.1421   |  1.3830 |   1.0000  |
|  epoch 14 |   1.4957   |   0.1244   |  1.3713 |   1.0000  |
|  epoch 15 |   1.4648   |   0.1141   |  1.3507 |   1.0000  |
|  epoch 16 |   1.4503   |   0.1126   |  1.3377 |   1.0000  |
|  epoch 17 |   1.4362   |   0.1213   |  1.3149 |   1.0000  |
|  epoch 18 |   1.4601   |   0.1250   |  1.3351 |   1.0000  |
|  epoch 19 |   1.4496   |   0.1165   |  1.3332 |   1.0000  |
|  epoch 20 |   1.4551   |   0.1099   |  1.3452 |   1.0000  |
|  epoch 21 |   1.4602   |   0.1159   |  1.3443 |   1.0000  |
|  epoch 22 |   1.4927   |   0.1182   |  1.3745 |   1.0000  |
|  epoch 23 |   1.4780   |   0.0875   |  1.3904 |   1.0000  |
|  epoch 24 |   1.4486   |   0.0820   |  1.3666 |   1.0000  |
|  epoch 25 |   1.4245   |   0.0866   |  1.3378 |   1.0000  |
|  epoch 26 |   1.4520   |   0.0857   |  1.3663 |   1.0000  |
|  epoch 27 |   1.4415   |   0.0767   |  1.3648 |   1.0000  |
|  epoch 28 |   1.4370   |   0.0842   |  1.3528 |   1.0000  |
|  epoch 29 |   1.4449   |   0.0815   |  1.3634 |   1.0000  |
|  epoch 30 |   1.4421   |   0.0682   |  1.3738 |   1.0000  |
|  epoch 31 |   1.4418   |   0.0669   |  1.3748 |   1.0000  |
|  epoch 32 |   1.4399   |   0.0653   |  1.3745 |   1.0000  |
|  epoch 33 |   1.4204   |   0.0659   |  1.3545 |   1.0000  |
|  epoch 34 |   1.4194   |   0.0626   |  1.3567 |   1.0000  |
|  epoch 35 |   1.4331   |   0.0665   |  1.3666 |   1.0000  |
|  epoch 36 |   1.4269   |   0.0682   |  1.3587 |   1.0000  |
|  epoch 37 |   1.4400   |   0.0596   |  1.3804 |   1.0000  |
|  epoch 38 |   1.4171   |   0.0530   |  1.3641 |   1.0000  |
|  epoch 39 |   1.4190   |   0.0661   |  1.3529 |   1.0000  |
|  epoch 40 |   1.4417   |   0.0750   |  1.3668 |   1.0000  |
|  epoch 41 |   1.3733   |   0.0736   |  1.2997 |   1.0000  |
|  epoch 42 |   1.3450   |   0.0863   |  1.2586 |   1.0000  |
|  epoch 43 |   1.3548   |   0.0925   |  1.2624 |   1.0000  |
|  epoch 44 |   1.3464   |   0.0895   |  1.2569 |   1.0000  |
|  epoch 45 |   1.2783   |   0.0909   |  1.1874 |   1.0000  |
|  epoch 46 |   1.3808   |   0.1048   |  1.2761 |   1.0000  |
|  epoch 47 |   1.3093   |   0.0932   |  1.2161 |   1.0000  |
|  epoch 48 |   1.3261   |   0.0946   |  1.2315 |   1.0000  |
|  epoch 49 |   1.2398   |   0.0979   |  1.1419 |   1.0000  |
|  epoch 50 |   1.1624   |   0.1028   |  1.0595 |   1.0000  |
|  epoch 51 |   1.2120   |   0.1008   |  1.1112 |   1.0000  |
|  epoch 52 |   1.1132   |   0.0949   |  1.0182 |   1.0000  |
|  epoch 53 |   1.3355   |   0.1045   |  1.2310 |   1.0000  |
|  epoch 54 |   1.1235   |   0.0878   |  1.0356 |   1.0000  |
|  epoch 55 |   1.2003   |   0.0982   |  1.1021 |   1.0000  |
|  epoch 56 |   1.1480   |   0.1039   |  1.0441 |   1.0000  |
|  epoch 57 |   1.2330   |   0.1029   |  1.1300 |   1.0000  |
|  epoch 58 |   1.2851   |   0.1038   |  1.1813 |   1.0000  |
|  epoch 59 |   1.2553   |   0.1041   |  1.1512 |   1.0000  |
|  epoch 60 |   1.1627   |   0.0959   |  1.0669 |   1.0000  |
