+-----------+------------+------------+---------+-----------+
|  # Epoch  | Train_loss | Model_loss | DA_loss | Lambda_DA |
+-----------+------------+------------+---------+-----------+
|  epoch 1  |   0.4238   |   0.4238   |  0.0000 |   0.0000  |
|  epoch 2  |   0.2913   |   0.2913   |  0.0000 |   0.0000  |
|  epoch 3  |   0.2431   |   0.2431   |  0.0000 |   0.0000  |
|  epoch 4  |   0.2164   |   0.2164   |  0.0000 |   0.0000  |
|  epoch 5  |   0.1979   |   0.1979   |  0.0000 |   0.0000  |
|  epoch 6  |   0.1816   |   0.1816   |  0.0000 |   0.0000  |
|  epoch 7  |   0.1679   |   0.1679   |  0.0000 |   0.0000  |
|  epoch 8  |   0.1523   |   0.1523   |  0.0000 |   0.0000  |
|  epoch 9  |   0.1391   |   0.1391   |  0.0000 |   0.0000  |
|  epoch 10 |   1.5332   |   0.1850   |  1.3482 |   1.0000  |
|  epoch 11 |   1.5413   |   0.1633   |  1.3780 |   1.0000  |
|  epoch 12 |   1.5075   |   0.1359   |  1.3716 |   1.0000  |
|  epoch 13 |   1.5188   |   0.1438   |  1.3750 |   1.0000  |
|  epoch 14 |   1.4936   |   0.1291   |  1.3645 |   1.0000  |
|  epoch 15 |   1.4918   |   0.1289   |  1.3629 |   1.0000  |
|  epoch 16 |   1.4965   |   0.1143   |  1.3821 |   1.0000  |
|  epoch 17 |   1.4660   |   0.1108   |  1.3552 |   1.0000  |
|  epoch 18 |   1.4367   |   0.1149   |  1.3218 |   1.0000  |
|  epoch 19 |   1.4633   |   0.1097   |  1.3536 |   1.0000  |
|  epoch 20 |   1.4595   |   0.1155   |  1.3439 |   1.0000  |
|  epoch 21 |   1.4484   |   0.1210   |  1.3273 |   1.0000  |
|  epoch 22 |   1.4349   |   0.1134   |  1.3215 |   1.0000  |
|  epoch 23 |   1.4169   |   0.1029   |  1.3140 |   1.0000  |
|  epoch 24 |   1.4179   |   0.1041   |  1.3138 |   1.0000  |
|  epoch 25 |   1.3584   |   0.0960   |  1.2624 |   1.0000  |
|  epoch 26 |   1.3954   |   0.0995   |  1.2959 |   1.0000  |
|  epoch 27 |   1.4426   |   0.1051   |  1.3375 |   1.0000  |
|  epoch 28 |   1.4317   |   0.1061   |  1.3256 |   1.0000  |
|  epoch 29 |   1.3873   |   0.1043   |  1.2830 |   1.0000  |
|  epoch 30 |   1.3526   |   0.1047   |  1.2478 |   1.0000  |
|  epoch 31 |   1.3557   |   0.1147   |  1.2410 |   1.0000  |
|  epoch 32 |   1.3434   |   0.1109   |  1.2325 |   1.0000  |
|  epoch 33 |   1.4303   |   0.0915   |  1.3388 |   1.0000  |
|  epoch 34 |   1.3767   |   0.0914   |  1.2853 |   1.0000  |
|  epoch 35 |   1.4087   |   0.0927   |  1.3160 |   1.0000  |
|  epoch 36 |   1.3389   |   0.0852   |  1.2537 |   1.0000  |
|  epoch 37 |   1.3470   |   0.0918   |  1.2552 |   1.0000  |
|  epoch 38 |   1.3196   |   0.0950   |  1.2246 |   1.0000  |
|  epoch 39 |   1.3099   |   0.0984   |  1.2115 |   1.0000  |
|  epoch 40 |   1.1972   |   0.0891   |  1.1081 |   1.0000  |
|  epoch 41 |   1.3048   |   0.0937   |  1.2111 |   1.0000  |
|  epoch 42 |   1.2783   |   0.0983   |  1.1800 |   1.0000  |
|  epoch 43 |   1.4799   |   0.1379   |  1.3420 |   1.0000  |
|  epoch 44 |   1.2337   |   0.0885   |  1.1452 |   1.0000  |
|  epoch 45 |   1.3080   |   0.0960   |  1.2120 |   1.0000  |
|  epoch 46 |   1.4633   |   0.1054   |  1.3580 |   1.0000  |
|  epoch 47 |   1.3529   |   0.1101   |  1.2428 |   1.0000  |
|  epoch 48 |   1.4073   |   0.1038   |  1.3034 |   1.0000  |
|  epoch 49 |   1.3634   |   0.0905   |  1.2730 |   1.0000  |
|  epoch 50 |   1.1340   |   0.0826   |  1.0514 |   1.0000  |
|  epoch 51 |   1.3578   |   0.0993   |  1.2585 |   1.0000  |
|  epoch 52 |   1.3581   |   0.1109   |  1.2471 |   1.0000  |
|  epoch 53 |   1.2760   |   0.0993   |  1.1766 |   1.0000  |
|  epoch 54 |   1.2994   |   0.1141   |  1.1853 |   1.0000  |
|  epoch 55 |   1.1388   |   0.0995   |  1.0393 |   1.0000  |
|  epoch 56 |   1.2130   |   0.1075   |  1.1055 |   1.0000  |
|  epoch 57 |   1.3106   |   0.1213   |  1.1892 |   1.0000  |
|  epoch 58 |   1.3846   |   0.1204   |  1.2643 |   1.0000  |
|  epoch 59 |   1.3062   |   0.1091   |  1.1972 |   1.0000  |
|  epoch 60 |   1.1023   |   0.0881   |  1.0142 |   1.0000  |
|  epoch 61 |   1.3655   |   0.1098   |  1.2558 |   1.0000  |
|  epoch 62 |   1.3550   |   0.1088   |  1.2462 |   1.0000  |
|  epoch 63 |   1.2360   |   0.0960   |  1.1400 |   1.0000  |
|  epoch 64 |   1.2007   |   0.1139   |  1.0869 |   1.0000  |
|  epoch 65 |   1.2587   |   0.1197   |  1.1390 |   1.0000  |
|  epoch 66 |   1.3425   |   0.1213   |  1.2212 |   1.0000  |
|  epoch 67 |   1.1546   |   0.1140   |  1.0406 |   1.0000  |
|  epoch 68 |   1.1694   |   0.1207   |  1.0488 |   1.0000  |
|  epoch 69 |   1.2764   |   0.1406   |  1.1358 |   1.0000  |
|  epoch 70 |   1.3623   |   0.1419   |  1.2204 |   1.0000  |
|  epoch 71 |   1.4105   |   0.1351   |  1.2755 |   1.0000  |
|  epoch 72 |   1.3446   |   0.1368   |  1.2078 |   1.0000  |
|  epoch 73 |   1.3686   |   0.1461   |  1.2225 |   1.0000  |
