+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.4183   |
|  epoch 2  |   0.2902   |
|  epoch 3  |   0.2392   |
|  epoch 4  |   0.2103   |
|  epoch 5  |   0.1903   |
|  epoch 6  |   0.1725   |
|  epoch 7  |   0.1575   |
|  epoch 8  |   0.1435   |
|  epoch 9  |   0.1293   |
|  epoch 10 |   0.1163   |
|  epoch 11 |   0.1065   |
|  epoch 12 |   0.0935   |
|  epoch 13 |   0.0852   |
|  epoch 14 |   0.0769   |
|  epoch 15 |   0.0697   |
|  epoch 16 |   0.0633   |
|  epoch 17 |   0.0574   |
|  epoch 18 |   0.0527   |
|  epoch 19 |   0.0491   |
|  epoch 20 |   0.0479   |
|  epoch 21 |   0.0423   |
|  epoch 22 |   0.0408   |
|  epoch 23 |   0.0389   |
|  epoch 24 |   0.0339   |
|  epoch 25 |   0.0325   |
|  epoch 26 |   0.0331   |
|  epoch 27 |   0.0310   |
|  epoch 28 |   0.0290   |
|  epoch 29 |   0.0267   |
|  epoch 30 |   0.0264   |
|  epoch 31 |   0.0255   |
|  epoch 32 |   0.0250   |
|  epoch 33 |   0.0242   |
|  epoch 34 |   0.0238   |
|  epoch 35 |   0.0231   |
|  epoch 36 |   0.0188   |
|  epoch 37 |   0.0228   |
|  epoch 38 |   0.0221   |
|  epoch 39 |   0.0191   |
|  epoch 40 |   0.0200   |
|  epoch 41 |   0.0195   |
|  epoch 42 |   0.0182   |
|  epoch 43 |   0.0172   |
|  epoch 44 |   0.0185   |
|  epoch 45 |   0.0170   |
|  epoch 46 |   0.0177   |
|  epoch 47 |   0.0164   |
|  epoch 48 |   0.0175   |
|  epoch 49 |   0.0153   |
|  epoch 50 |   0.0170   |
|  epoch 51 |   0.0175   |
|  epoch 52 |   0.0149   |
|  epoch 53 |   0.0145   |
|  epoch 54 |   0.0141   |
|  epoch 55 |   0.0152   |
|  epoch 56 |   0.0152   |
|  epoch 57 |   0.0136   |
|  epoch 58 |   0.0133   |
|  epoch 59 |   0.0152   |
|  epoch 60 |   0.0136   |
|  epoch 61 |   0.0130   |
|  epoch 62 |   0.0138   |
|  epoch 63 |   0.0119   |
|  epoch 64 |   0.0128   |
|  epoch 65 |   0.0141   |
|  epoch 66 |   0.0121   |
|  epoch 67 |   0.0126   |
|  epoch 68 |   0.0121   |
|  epoch 69 |   0.0125   |
|  epoch 70 |   0.0114   |
|  epoch 71 |   0.0126   |
|  epoch 72 |   0.0113   |
|  epoch 73 |   0.0118   |
|  epoch 74 |   0.0122   |
|  epoch 75 |   0.0114   |
|  epoch 76 |   0.0117   |
|  epoch 77 |   0.0120   |
|  epoch 78 |   0.0117   |
|  epoch 79 |   0.0113   |
|  epoch 80 |   0.0106   |
|  epoch 81 |   0.0116   |
|  epoch 82 |   0.0104   |
|  epoch 83 |   0.0122   |
|  epoch 84 |   0.0099   |
|  epoch 85 |   0.0099   |
|  epoch 86 |   0.0107   |
|  epoch 87 |   0.0113   |
|  epoch 88 |   0.0108   |
|  epoch 89 |   0.0090   |
|  epoch 90 |   0.0102   |
|  epoch 91 |   0.0110   |
|  epoch 92 |   0.0104   |
|  epoch 93 |   0.0097   |
|  epoch 94 |   0.0091   |
|  epoch 95 |   0.0098   |
|  epoch 96 |   0.0096   |
|  epoch 97 |   0.0088   |
|  epoch 98 |   0.0099   |
|  epoch 99 |   0.0092   |
| epoch 100 |   0.0092   |
+-----------+------------+
