+-----------+------------+------------+---------+-----------+
|  # Epoch  | Train_loss | Model_loss | DA_loss | Lambda_DA |
+-----------+------------+------------+---------+-----------+
|  epoch 1  |   0.4168   |   0.4168   |  0.0000 |   0.0000  |
|  epoch 2  |   0.2957   |   0.2957   |  0.0000 |   0.0000  |
|  epoch 3  |   0.2442   |   0.2442   |  0.0000 |   0.0000  |
|  epoch 4  |   0.2167   |   0.2167   |  0.0000 |   0.0000  |
|  epoch 5  |   0.1962   |   0.1962   |  0.0000 |   0.0000  |
|  epoch 6  |   0.1797   |   0.1797   |  0.0000 |   0.0000  |
|  epoch 7  |   0.1653   |   0.1653   |  0.0000 |   0.0000  |
|  epoch 8  |   0.1500   |   0.1500   |  0.0000 |   0.0000  |
|  epoch 9  |   0.1364   |   0.1364   |  0.0000 |   0.0000  |
|  epoch 10 |   1.5412   |   0.1804   |  1.3608 |   1.0000  |
|  epoch 11 |   1.5287   |   0.1562   |  1.3725 |   1.0000  |
|  epoch 12 |   1.5237   |   0.1527   |  1.3710 |   1.0000  |
|  epoch 13 |   1.5128   |   0.1358   |  1.3771 |   1.0000  |
|  epoch 14 |   1.4919   |   0.1277   |  1.3642 |   1.0000  |
|  epoch 15 |   1.4873   |   0.1280   |  1.3593 |   1.0000  |
|  epoch 16 |   1.4909   |   0.1307   |  1.3602 |   1.0000  |
|  epoch 17 |   1.4641   |   0.1233   |  1.3408 |   1.0000  |
|  epoch 18 |   1.4766   |   0.1114   |  1.3652 |   1.0000  |
|  epoch 19 |   1.4440   |   0.1020   |  1.3421 |   1.0000  |
|  epoch 20 |   1.4320   |   0.1043   |  1.3277 |   1.0000  |
|  epoch 21 |   1.4355   |   0.1009   |  1.3345 |   1.0000  |
|  epoch 22 |   1.4357   |   0.0997   |  1.3360 |   1.0000  |
|  epoch 23 |   1.4654   |   0.0952   |  1.3702 |   1.0000  |
|  epoch 24 |   1.4533   |   0.0969   |  1.3564 |   1.0000  |
|  epoch 25 |   1.4462   |   0.0967   |  1.3496 |   1.0000  |
|  epoch 26 |   1.4590   |   0.0918   |  1.3673 |   1.0000  |
|  epoch 27 |   1.4887   |   0.0935   |  1.3953 |   1.0000  |
|  epoch 28 |   1.4135   |   0.0962   |  1.3173 |   1.0000  |
|  epoch 29 |   1.4399   |   0.0928   |  1.3472 |   1.0000  |
|  epoch 30 |   1.4387   |   0.0849   |  1.3538 |   1.0000  |
|  epoch 31 |   1.4351   |   0.0934   |  1.3417 |   1.0000  |
|  epoch 32 |   1.4244   |   0.1045   |  1.3199 |   1.0000  |
|  epoch 33 |   1.4176   |   0.0912   |  1.3263 |   1.0000  |
|  epoch 34 |   1.4459   |   0.0967   |  1.3492 |   1.0000  |
|  epoch 35 |   1.4360   |   0.1104   |  1.3256 |   1.0000  |
|  epoch 36 |   1.3915   |   0.0850   |  1.3065 |   1.0000  |
|  epoch 37 |   1.3745   |   0.0907   |  1.2839 |   1.0000  |
|  epoch 38 |   1.4302   |   0.0855   |  1.3446 |   1.0000  |
|  epoch 39 |   1.4027   |   0.0763   |  1.3263 |   1.0000  |
