+-----------+------------+------------+---------+-----------+
|  # Epoch  | Train_loss | Model_loss | DA_loss | Lambda_DA |
|  epoch 83 |   1.4019   |   0.2031   |  1.1988 |   1.0000  |
|  epoch 84 |   1.4387   |   0.2152   |  1.2236 |   1.0000  |
|  epoch 85 |   1.4284   |   0.2185   |  1.2099 |   1.0000  |
|  epoch 86 |   1.4635   |   0.2018   |  1.2618 |   1.0000  |
|  epoch 87 |   1.4656   |   0.1986   |  1.2670 |   1.0000  |
|  epoch 88 |   1.3409   |   0.2030   |  1.1379 |   1.0000  |
|  epoch 89 |   1.4918   |   0.1871   |  1.3047 |   1.0000  |
|  epoch 90 |   1.3490   |   0.1985   |  1.1506 |   1.0000  |
|  epoch 91 |   1.4517   |   0.2142   |  1.2375 |   1.0000  |
|  epoch 92 |   1.3839   |   0.2060   |  1.1779 |   1.0000  |
|  epoch 93 |   1.3974   |   0.2158   |  1.1816 |   1.0000  |
|  epoch 94 |   1.4255   |   0.2113   |  1.2142 |   1.0000  |
|  epoch 95 |   1.3981   |   0.2194   |  1.1787 |   1.0000  |
|  epoch 96 |   1.4540   |   0.2276   |  1.2264 |   1.0000  |
|  epoch 97 |   1.5841   |   0.2209   |  1.3632 |   1.0000  |
|  epoch 98 |   1.4649   |   0.2238   |  1.2411 |   1.0000  |
|  epoch 99 |   1.4774   |   0.2223   |  1.2551 |   1.0000  |
| epoch 100 |   1.5715   |   0.2149   |  1.3566 |   1.0000  |
+-----------+------------+------------+---------+-----------+
