+-----------+------------+------------+---------+-----------+
|  # Epoch  | Train_loss | Model_loss | DA_loss | Lambda_DA |
|  epoch 83 |   1.2597   |   0.1988   |  1.0609 |   1.0000  |
|  epoch 84 |   1.3647   |   0.2050   |  1.1596 |   1.0000  |
|  epoch 85 |   1.3795   |   0.2099   |  1.1696 |   1.0000  |
|  epoch 86 |   1.1662   |   0.1912   |  0.9751 |   1.0000  |
|  epoch 87 |   1.4531   |   0.2339   |  1.2192 |   1.0000  |
|  epoch 88 |   1.3659   |   0.2123   |  1.1536 |   1.0000  |
|  epoch 89 |   1.3256   |   0.2124   |  1.1131 |   1.0000  |
|  epoch 90 |   1.3062   |   0.2138   |  1.0923 |   1.0000  |
|  epoch 91 |   1.1074   |   0.1937   |  0.9137 |   1.0000  |
|  epoch 92 |   1.1647   |   0.1935   |  0.9712 |   1.0000  |
|  epoch 93 |   1.4084   |   0.2437   |  1.1647 |   1.0000  |
|  epoch 94 |   1.5313   |   0.2347   |  1.2965 |   1.0000  |
|  epoch 95 |   1.4964   |   0.2159   |  1.2805 |   1.0000  |
|  epoch 96 |   1.3584   |   0.2045   |  1.1539 |   1.0000  |
|  epoch 97 |   1.1378   |   0.2028   |  0.9350 |   1.0000  |
|  epoch 98 |   1.2653   |   0.2179   |  1.0474 |   1.0000  |
|  epoch 99 |   1.2786   |   0.2336   |  1.0450 |   1.0000  |
| epoch 100 |   1.3252   |   0.2145   |  1.1107 |   1.0000  |
+-----------+------------+------------+---------+-----------+
