+-----------+------------+------------+---------+-----------+
|  # Epoch  | Train_loss | Model_loss | DA_loss | Lambda_DA |
+-----------+------------+------------+---------+-----------+
|  epoch 1  |   0.4187   |   0.4187   |  0.0000 |   0.0000  |
|  epoch 2  |   0.2919   |   0.2919   |  0.0000 |   0.0000  |
|  epoch 3  |   0.2448   |   0.2448   |  0.0000 |   0.0000  |
|  epoch 4  |   0.2150   |   0.2150   |  0.0000 |   0.0000  |
|  epoch 5  |   0.1995   |   0.1995   |  0.0000 |   0.0000  |
|  epoch 6  |   0.1800   |   0.1800   |  0.0000 |   0.0000  |
|  epoch 7  |   0.1633   |   0.1633   |  0.0000 |   0.0000  |
|  epoch 8  |   0.1480   |   0.1480   |  0.0000 |   0.0000  |
|  epoch 9  |   0.1351   |   0.1351   |  0.0000 |   0.0000  |
|  epoch 10 |   1.5553   |   0.2000   |  1.3553 |   1.0000  |
|  epoch 11 |   1.5306   |   0.1700   |  1.3606 |   1.0000  |
|  epoch 12 |   1.5083   |   0.1653   |  1.3430 |   1.0000  |
|  epoch 13 |   1.5192   |   0.1639   |  1.3553 |   1.0000  |
|  epoch 14 |   1.5151   |   0.1662   |  1.3489 |   1.0000  |
|  epoch 15 |   1.4507   |   0.1589   |  1.2917 |   1.0000  |
|  epoch 16 |   1.4962   |   0.1491   |  1.3471 |   1.0000  |
|  epoch 17 |   1.5196   |   0.1452   |  1.3744 |   1.0000  |
|  epoch 18 |   1.4686   |   0.1402   |  1.3284 |   1.0000  |
|  epoch 19 |   1.4528   |   0.1361   |  1.3167 |   1.0000  |
|  epoch 20 |   1.4160   |   0.1369   |  1.2791 |   1.0000  |
|  epoch 21 |   1.4320   |   0.1348   |  1.2972 |   1.0000  |
|  epoch 22 |   1.4606   |   0.1376   |  1.3231 |   1.0000  |
|  epoch 23 |   1.4381   |   0.1435   |  1.2946 |   1.0000  |
|  epoch 24 |   1.3916   |   0.1236   |  1.2679 |   1.0000  |
|  epoch 25 |   1.4169   |   0.1324   |  1.2845 |   1.0000  |
|  epoch 26 |   1.4529   |   0.1180   |  1.3348 |   1.0000  |
|  epoch 27 |   1.3954   |   0.1224   |  1.2730 |   1.0000  |
|  epoch 28 |   1.4157   |   0.1180   |  1.2977 |   1.0000  |
|  epoch 29 |   1.3324   |   0.1110   |  1.2214 |   1.0000  |
|  epoch 30 |   1.3455   |   0.1105   |  1.2349 |   1.0000  |
|  epoch 31 |   1.3161   |   0.1323   |  1.1838 |   1.0000  |
|  epoch 32 |   1.4709   |   0.1201   |  1.3508 |   1.0000  |
|  epoch 33 |   1.4628   |   0.1046   |  1.3582 |   1.0000  |
