+-----------+------------+------------+---------+-----------+
|  # Epoch  | Train_loss | Model_loss | DA_loss | Lambda_DA |
+-----------+------------+------------+---------+-----------+
|  epoch 1  |   0.4215   |   0.4215   |  0.0000 |   0.0000  |
|  epoch 2  |   0.2999   |   0.2999   |  0.0000 |   0.0000  |
|  epoch 3  |   0.2468   |   0.2468   |  0.0000 |   0.0000  |
|  epoch 4  |   0.2205   |   0.2205   |  0.0000 |   0.0000  |
|  epoch 5  |   0.2004   |   0.2004   |  0.0000 |   0.0000  |
|  epoch 6  |   0.1810   |   0.1810   |  0.0000 |   0.0000  |
|  epoch 7  |   0.1670   |   0.1670   |  0.0000 |   0.0000  |
|  epoch 8  |   0.1535   |   0.1535   |  0.0000 |   0.0000  |
|  epoch 9  |   0.1424   |   0.1424   |  0.0000 |   0.0000  |
|  epoch 10 |   1.5516   |   0.1876   |  1.3640 |   1.0000  |
|  epoch 11 |   1.5405   |   0.1781   |  1.3624 |   1.0000  |
|  epoch 12 |   1.5155   |   0.1462   |  1.3693 |   1.0000  |
|  epoch 13 |   1.5111   |   0.1387   |  1.3724 |   1.0000  |
|  epoch 14 |   1.5038   |   0.1328   |  1.3709 |   1.0000  |
|  epoch 15 |   1.4846   |   0.1240   |  1.3606 |   1.0000  |
|  epoch 16 |   1.4602   |   0.1224   |  1.3378 |   1.0000  |
|  epoch 17 |   1.4817   |   0.1170   |  1.3647 |   1.0000  |
|  epoch 18 |   1.4720   |   0.1217   |  1.3503 |   1.0000  |
|  epoch 19 |   1.4813   |   0.1186   |  1.3627 |   1.0000  |
|  epoch 20 |   1.4525   |   0.1069   |  1.3455 |   1.0000  |
|  epoch 21 |   1.4362   |   0.1066   |  1.3296 |   1.0000  |
|  epoch 22 |   1.4230   |   0.1040   |  1.3190 |   1.0000  |
|  epoch 23 |   1.4200   |   0.1184   |  1.3016 |   1.0000  |
|  epoch 24 |   1.4283   |   0.1050   |  1.3234 |   1.0000  |
|  epoch 25 |   1.4499   |   0.1039   |  1.3460 |   1.0000  |
|  epoch 26 |   1.4519   |   0.1017   |  1.3502 |   1.0000  |
|  epoch 27 |   1.3477   |   0.1076   |  1.2402 |   1.0000  |
|  epoch 28 |   1.3544   |   0.1312   |  1.2232 |   1.0000  |
|  epoch 29 |   1.4288   |   0.1447   |  1.2840 |   1.0000  |
|  epoch 30 |   1.4849   |   0.1277   |  1.3572 |   1.0000  |
|  epoch 31 |   1.3388   |   0.1065   |  1.2323 |   1.0000  |
|  epoch 32 |   1.4054   |   0.1054   |  1.3000 |   1.0000  |
|  epoch 33 |   1.3779   |   0.1110   |  1.2669 |   1.0000  |
|  epoch 34 |   1.3919   |   0.1017   |  1.2902 |   1.0000  |
|  epoch 35 |   1.3811   |   0.1254   |  1.2556 |   1.0000  |
|  epoch 36 |   1.3601   |   0.1063   |  1.2538 |   1.0000  |
|  epoch 37 |   1.3858   |   0.1111   |  1.2747 |   1.0000  |
|  epoch 38 |   1.3849   |   0.1286   |  1.2563 |   1.0000  |
|  epoch 39 |   1.4425   |   0.1296   |  1.3129 |   1.0000  |
|  epoch 40 |   1.3921   |   0.1197   |  1.2724 |   1.0000  |
|  epoch 41 |   1.4362   |   0.1208   |  1.3154 |   1.0000  |
|  epoch 42 |   1.3602   |   0.1018   |  1.2584 |   1.0000  |
|  epoch 43 |   1.3415   |   0.1007   |  1.2409 |   1.0000  |
|  epoch 44 |   1.2762   |   0.1134   |  1.1628 |   1.0000  |
|  epoch 45 |   1.3955   |   0.1253   |  1.2701 |   1.0000  |
|  epoch 46 |   1.3773   |   0.1264   |  1.2509 |   1.0000  |
|  epoch 47 |   1.3324   |   0.1158   |  1.2167 |   1.0000  |
|  epoch 48 |   1.4026   |   0.1214   |  1.2812 |   1.0000  |
|  epoch 49 |   1.3953   |   0.1390   |  1.2563 |   1.0000  |
|  epoch 50 |   1.3761   |   0.1210   |  1.2551 |   1.0000  |
|  epoch 51 |   1.2475   |   0.1192   |  1.1283 |   1.0000  |
|  epoch 52 |   1.3056   |   0.1192   |  1.1864 |   1.0000  |
|  epoch 53 |   1.4058   |   0.1228   |  1.2829 |   1.0000  |
|  epoch 54 |   1.4141   |   0.1193   |  1.2948 |   1.0000  |
|  epoch 55 |   1.3863   |   0.1112   |  1.2751 |   1.0000  |
|  epoch 56 |   1.4091   |   0.1175   |  1.2916 |   1.0000  |
|  epoch 57 |   1.3725   |   0.1184   |  1.2542 |   1.0000  |
|  epoch 58 |   1.3446   |   0.1310   |  1.2136 |   1.0000  |
|  epoch 59 |   1.3443   |   0.1317   |  1.2126 |   1.0000  |
