+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.4126   |
|  epoch 2  |   0.2966   |
|  epoch 3  |   0.2428   |
|  epoch 4  |   0.2149   |
|  epoch 5  |   0.1977   |
|  epoch 6  |   0.1790   |
|  epoch 7  |   0.1662   |
|  epoch 8  |   0.1544   |
|  epoch 9  |   0.1399   |
|  epoch 10 |   0.1264   |
|  epoch 11 |   0.1149   |
|  epoch 12 |   0.1007   |
|  epoch 13 |   0.0921   |
|  epoch 14 |   0.0831   |
|  epoch 15 |   0.0758   |
|  epoch 16 |   0.0687   |
|  epoch 17 |   0.0640   |
|  epoch 18 |   0.0544   |
|  epoch 19 |   0.0498   |
|  epoch 20 |   0.0486   |
|  epoch 21 |   0.0425   |
|  epoch 22 |   0.0416   |
|  epoch 23 |   0.0372   |
|  epoch 24 |   0.0359   |
|  epoch 25 |   0.0325   |
|  epoch 26 |   0.0314   |
|  epoch 27 |   0.0314   |
|  epoch 28 |   0.0283   |
|  epoch 29 |   0.0246   |
|  epoch 30 |   0.0272   |
|  epoch 31 |   0.0260   |
|  epoch 32 |   0.0221   |
|  epoch 33 |   0.0213   |
|  epoch 34 |   0.0230   |
|  epoch 35 |   0.0221   |
|  epoch 36 |   0.0173   |
|  epoch 37 |   0.0221   |
|  epoch 38 |   0.0199   |
|  epoch 39 |   0.0193   |
|  epoch 40 |   0.0212   |
|  epoch 41 |   0.0172   |
|  epoch 42 |   0.0181   |
|  epoch 43 |   0.0156   |
|  epoch 44 |   0.0167   |
|  epoch 45 |   0.0167   |
|  epoch 46 |   0.0135   |
|  epoch 47 |   0.0172   |
|  epoch 48 |   0.0144   |
|  epoch 49 |   0.0138   |
|  epoch 50 |   0.0152   |
|  epoch 51 |   0.0135   |
|  epoch 52 |   0.0127   |
|  epoch 53 |   0.0123   |
|  epoch 54 |   0.0131   |
|  epoch 55 |   0.0157   |
|  epoch 56 |   0.0134   |
|  epoch 57 |   0.0118   |
|  epoch 58 |   0.0128   |
|  epoch 59 |   0.0130   |
|  epoch 60 |   0.0134   |
|  epoch 61 |   0.0101   |
|  epoch 62 |   0.0109   |
|  epoch 63 |   0.0112   |
|  epoch 64 |   0.0124   |
|  epoch 65 |   0.0101   |
|  epoch 66 |   0.0113   |
|  epoch 67 |   0.0116   |
|  epoch 68 |   0.0117   |
|  epoch 69 |   0.0114   |
|  epoch 70 |   0.0100   |
|  epoch 71 |   0.0126   |
|  epoch 72 |   0.0093   |
|  epoch 73 |   0.0091   |
|  epoch 74 |   0.0092   |
|  epoch 75 |   0.0113   |
|  epoch 76 |   0.0109   |
|  epoch 77 |   0.0089   |
|  epoch 78 |   0.0089   |
|  epoch 79 |   0.0092   |
|  epoch 80 |   0.0092   |
|  epoch 81 |   0.0090   |
|  epoch 82 |   0.0118   |
|  epoch 83 |   0.0079   |
|  epoch 84 |   0.0099   |
|  epoch 85 |   0.0087   |
|  epoch 86 |   0.0090   |
|  epoch 87 |   0.0097   |
|  epoch 88 |   0.0070   |
|  epoch 89 |   0.0101   |
|  epoch 90 |   0.0074   |
|  epoch 91 |   0.0102   |
|  epoch 92 |   0.0090   |
|  epoch 93 |   0.0084   |
|  epoch 94 |   0.0070   |
|  epoch 95 |   0.0089   |
|  epoch 96 |   0.0083   |
|  epoch 97 |   0.0080   |
|  epoch 98 |   0.0076   |
|  epoch 99 |   0.0105   |
| epoch 100 |   0.0074   |
+-----------+------------+
