+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.4149   |
|  epoch 2  |   0.2896   |
|  epoch 3  |   0.2392   |
|  epoch 4  |   0.2111   |
|  epoch 5  |   0.1887   |
|  epoch 6  |   0.1712   |
|  epoch 7  |   0.1566   |
|  epoch 8  |   0.1410   |
|  epoch 9  |   0.1272   |
|  epoch 10 |   0.1146   |
|  epoch 11 |   0.1026   |
|  epoch 12 |   0.0910   |
|  epoch 13 |   0.0842   |
|  epoch 14 |   0.0788   |
|  epoch 15 |   0.0684   |
|  epoch 16 |   0.0624   |
|  epoch 17 |   0.0604   |
|  epoch 18 |   0.0539   |
|  epoch 19 |   0.0509   |
|  epoch 20 |   0.0451   |
|  epoch 21 |   0.0433   |
|  epoch 22 |   0.0413   |
|  epoch 23 |   0.0371   |
|  epoch 24 |   0.0362   |
|  epoch 25 |   0.0334   |
|  epoch 26 |   0.0324   |
|  epoch 27 |   0.0312   |
|  epoch 28 |   0.0273   |
|  epoch 29 |   0.0297   |
|  epoch 30 |   0.0269   |
|  epoch 31 |   0.0267   |
|  epoch 32 |   0.0242   |
|  epoch 33 |   0.0258   |
|  epoch 34 |   0.0231   |
|  epoch 35 |   0.0223   |
|  epoch 36 |   0.0229   |
|  epoch 37 |   0.0206   |
|  epoch 38 |   0.0205   |
|  epoch 39 |   0.0200   |
|  epoch 40 |   0.0184   |
|  epoch 41 |   0.0180   |
|  epoch 42 |   0.0191   |
|  epoch 43 |   0.0178   |
|  epoch 44 |   0.0181   |
|  epoch 45 |   0.0168   |
|  epoch 46 |   0.0167   |
|  epoch 47 |   0.0165   |
|  epoch 48 |   0.0166   |
|  epoch 49 |   0.0153   |
|  epoch 50 |   0.0163   |
|  epoch 51 |   0.0160   |
|  epoch 52 |   0.0135   |
|  epoch 53 |   0.0172   |
|  epoch 54 |   0.0151   |
|  epoch 55 |   0.0148   |
|  epoch 56 |   0.0149   |
|  epoch 57 |   0.0173   |
|  epoch 58 |   0.0140   |
|  epoch 59 |   0.0132   |
|  epoch 60 |   0.0123   |
|  epoch 61 |   0.0138   |
|  epoch 62 |   0.0148   |
|  epoch 63 |   0.0118   |
|  epoch 64 |   0.0116   |
|  epoch 65 |   0.0118   |
|  epoch 66 |   0.0138   |
|  epoch 67 |   0.0133   |
|  epoch 68 |   0.0122   |
|  epoch 69 |   0.0113   |
|  epoch 70 |   0.0123   |
|  epoch 71 |   0.0121   |
|  epoch 72 |   0.0126   |
|  epoch 73 |   0.0130   |
|  epoch 74 |   0.0107   |
|  epoch 75 |   0.0127   |
|  epoch 76 |   0.0108   |
|  epoch 77 |   0.0111   |
|  epoch 78 |   0.0106   |
|  epoch 79 |   0.0107   |
|  epoch 80 |   0.0110   |
|  epoch 81 |   0.0106   |
|  epoch 82 |   0.0116   |
|  epoch 83 |   0.0099   |
|  epoch 84 |   0.0096   |
|  epoch 85 |   0.0104   |
|  epoch 86 |   0.0097   |
|  epoch 87 |   0.0109   |
|  epoch 88 |   0.0105   |
|  epoch 89 |   0.0102   |
|  epoch 90 |   0.0092   |
|  epoch 91 |   0.0103   |
|  epoch 92 |   0.0100   |
|  epoch 93 |   0.0086   |
|  epoch 94 |   0.0100   |
|  epoch 95 |   0.0095   |
|  epoch 96 |   0.0107   |
|  epoch 97 |   0.0098   |
|  epoch 98 |   0.0104   |
|  epoch 99 |   0.0092   |
| epoch 100 |   0.0079   |
+-----------+------------+
