+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.4533   |
| epoch 2  |   0.7159   |
| epoch 3  |   0.4440   |
| epoch 4  |   0.3515   |
| epoch 5  |   0.3173   |
| epoch 6  |   0.2902   |
| epoch 7  |   0.2661   |
| epoch 8  |   0.2484   |
| epoch 9  |   0.2369   |
| epoch 10 |   0.2178   |
| epoch 11 |   0.2055   |
| epoch 12 |   0.1949   |
| epoch 13 |   0.1838   |
| epoch 14 |   0.1737   |
| epoch 15 |   0.1609   |
| epoch 16 |   0.1538   |
| epoch 17 |   0.1472   |
| epoch 18 |   0.1367   |
| epoch 19 |   0.1303   |
| epoch 20 |   0.1247   |
| epoch 21 |   0.1168   |
| epoch 22 |   0.1087   |
| epoch 23 |   0.1039   |
| epoch 24 |   0.0943   |
| epoch 25 |   0.0929   |
| epoch 26 |   0.0885   |
| epoch 27 |   0.0803   |
| epoch 28 |   0.0780   |
| epoch 29 |   0.0764   |
| epoch 30 |   0.0715   |
| epoch 31 |   0.0669   |
| epoch 32 |   0.0624   |
| epoch 33 |   0.0623   |
| epoch 34 |   0.0544   |
| epoch 35 |   0.0530   |
| epoch 36 |   0.0529   |
| epoch 37 |   0.0478   |
| epoch 38 |   0.0444   |
| epoch 39 |   0.0434   |
| epoch 40 |   0.0425   |
| epoch 41 |   0.0401   |
| epoch 42 |   0.0378   |
| epoch 43 |   0.0393   |
| epoch 44 |   0.0335   |
| epoch 45 |   0.0327   |
| epoch 46 |   0.0314   |
| epoch 47 |   0.0293   |
| epoch 48 |   0.0269   |
| epoch 49 |   0.0286   |
| epoch 50 |   0.0232   |
+----------+------------+
