+-----------+------------+------------+---------+-----------+
|  # Epoch  | Train_loss | Model_loss | DA_loss | Lambda_DA |
+-----------+------------+------------+---------+-----------+
|  epoch 1  |   0.4187   |   0.4187   |  0.0000 |   0.0000  |
|  epoch 2  |   0.2901   |   0.2901   |  0.0000 |   0.0000  |
|  epoch 3  |   0.2431   |   0.2431   |  0.0000 |   0.0000  |
|  epoch 4  |   0.2150   |   0.2150   |  0.0000 |   0.0000  |
|  epoch 5  |   0.1976   |   0.1976   |  0.0000 |   0.0000  |
|  epoch 6  |   0.1756   |   0.1756   |  0.0000 |   0.0000  |
|  epoch 7  |   0.1671   |   0.1671   |  0.0000 |   0.0000  |
|  epoch 8  |   0.1478   |   0.1478   |  0.0000 |   0.0000  |
|  epoch 9  |   0.1373   |   0.1373   |  0.0000 |   0.0000  |
|  epoch 10 |   1.5479   |   0.1899   |  1.3579 |   1.0000  |
|  epoch 11 |   1.5288   |   0.1614   |  1.3674 |   1.0000  |
|  epoch 12 |   1.5171   |   0.1466   |  1.3705 |   1.0000  |
|  epoch 13 |   1.5002   |   0.1379   |  1.3623 |   1.0000  |
|  epoch 14 |   1.4925   |   0.1248   |  1.3677 |   1.0000  |
|  epoch 15 |   1.4836   |   0.1237   |  1.3599 |   1.0000  |
|  epoch 16 |   1.4819   |   0.1122   |  1.3697 |   1.0000  |
|  epoch 17 |   1.4553   |   0.1083   |  1.3469 |   1.0000  |
|  epoch 18 |   1.4523   |   0.1068   |  1.3454 |   1.0000  |
|  epoch 19 |   1.4713   |   0.1272   |  1.3442 |   1.0000  |
|  epoch 20 |   1.4683   |   0.1062   |  1.3621 |   1.0000  |
|  epoch 21 |   1.4396   |   0.0984   |  1.3412 |   1.0000  |
|  epoch 22 |   1.4170   |   0.1033   |  1.3138 |   1.0000  |
|  epoch 23 |   1.4773   |   0.1182   |  1.3591 |   1.0000  |
|  epoch 24 |   1.4039   |   0.0979   |  1.3061 |   1.0000  |
|  epoch 25 |   1.4301   |   0.1180   |  1.3121 |   1.0000  |
|  epoch 26 |   1.4257   |   0.1141   |  1.3115 |   1.0000  |
|  epoch 27 |   1.4157   |   0.1047   |  1.3110 |   1.0000  |
|  epoch 28 |   1.4215   |   0.1014   |  1.3201 |   1.0000  |
|  epoch 29 |   1.4232   |   0.1075   |  1.3157 |   1.0000  |
|  epoch 30 |   1.4430   |   0.1028   |  1.3402 |   1.0000  |
|  epoch 31 |   1.4551   |   0.1040   |  1.3511 |   1.0000  |
|  epoch 32 |   1.4270   |   0.1030   |  1.3241 |   1.0000  |
|  epoch 33 |   1.3451   |   0.1016   |  1.2435 |   1.0000  |
