+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.4223   |
|  epoch 2  |   0.2925   |
|  epoch 3  |   0.2385   |
|  epoch 4  |   0.2091   |
|  epoch 5  |   0.1880   |
|  epoch 6  |   0.1682   |
|  epoch 7  |   0.1526   |
|  epoch 8  |   0.1413   |
|  epoch 9  |   0.1271   |
|  epoch 10 |   0.1127   |
|  epoch 11 |   0.1044   |
|  epoch 12 |   0.0935   |
|  epoch 13 |   0.0835   |
|  epoch 14 |   0.0753   |
|  epoch 15 |   0.0665   |
|  epoch 16 |   0.0656   |
|  epoch 17 |   0.0572   |
|  epoch 18 |   0.0517   |
|  epoch 19 |   0.0476   |
|  epoch 20 |   0.0453   |
|  epoch 21 |   0.0423   |
|  epoch 22 |   0.0378   |
|  epoch 23 |   0.0375   |
|  epoch 24 |   0.0348   |
|  epoch 25 |   0.0346   |
|  epoch 26 |   0.0298   |
|  epoch 27 |   0.0299   |
|  epoch 28 |   0.0293   |
|  epoch 29 |   0.0275   |
|  epoch 30 |   0.0261   |
|  epoch 31 |   0.0263   |
|  epoch 32 |   0.0246   |
|  epoch 33 |   0.0227   |
|  epoch 34 |   0.0232   |
|  epoch 35 |   0.0219   |
|  epoch 36 |   0.0216   |
|  epoch 37 |   0.0213   |
|  epoch 38 |   0.0207   |
|  epoch 39 |   0.0203   |
|  epoch 40 |   0.0189   |
|  epoch 41 |   0.0178   |
|  epoch 42 |   0.0202   |
|  epoch 43 |   0.0168   |
|  epoch 44 |   0.0187   |
|  epoch 45 |   0.0160   |
|  epoch 46 |   0.0163   |
|  epoch 47 |   0.0159   |
|  epoch 48 |   0.0166   |
|  epoch 49 |   0.0143   |
|  epoch 50 |   0.0164   |
|  epoch 51 |   0.0161   |
|  epoch 52 |   0.0144   |
|  epoch 53 |   0.0134   |
|  epoch 54 |   0.0146   |
|  epoch 55 |   0.0123   |
|  epoch 56 |   0.0137   |
|  epoch 57 |   0.0128   |
|  epoch 58 |   0.0144   |
|  epoch 59 |   0.0147   |
|  epoch 60 |   0.0142   |
|  epoch 61 |   0.0123   |
|  epoch 62 |   0.0119   |
|  epoch 63 |   0.0125   |
|  epoch 64 |   0.0135   |
|  epoch 65 |   0.0124   |
|  epoch 66 |   0.0122   |
|  epoch 67 |   0.0124   |
|  epoch 68 |   0.0123   |
|  epoch 69 |   0.0115   |
|  epoch 70 |   0.0108   |
|  epoch 71 |   0.0110   |
|  epoch 72 |   0.0119   |
|  epoch 73 |   0.0100   |
|  epoch 74 |   0.0119   |
|  epoch 75 |   0.0108   |
|  epoch 76 |   0.0099   |
|  epoch 77 |   0.0113   |
|  epoch 78 |   0.0101   |
|  epoch 79 |   0.0107   |
|  epoch 80 |   0.0104   |
|  epoch 81 |   0.0120   |
|  epoch 82 |   0.0114   |
|  epoch 83 |   0.0102   |
|  epoch 84 |   0.0092   |
|  epoch 85 |   0.0111   |
|  epoch 86 |   0.0102   |
|  epoch 87 |   0.0085   |
|  epoch 88 |   0.0094   |
|  epoch 89 |   0.0101   |
|  epoch 90 |   0.0099   |
|  epoch 91 |   0.0110   |
|  epoch 92 |   0.0095   |
|  epoch 93 |   0.0095   |
|  epoch 94 |   0.0109   |
|  epoch 95 |   0.0098   |
|  epoch 96 |   0.0096   |
|  epoch 97 |   0.0089   |
|  epoch 98 |   0.0086   |
|  epoch 99 |   0.0100   |
| epoch 100 |   0.0105   |
+-----------+------------+
