+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.5833   |
| epoch 2  |   0.3080   |
| epoch 3  |   0.2504   |
| epoch 4  |   0.2157   |
| epoch 5  |   0.1862   |
| epoch 6  |   0.1673   |
| epoch 7  |   0.1496   |
| epoch 8  |   0.1398   |
| epoch 9  |   0.1264   |
| epoch 10 |   0.1200   |
| epoch 11 |   0.1100   |
| epoch 12 |   0.1017   |
| epoch 13 |   0.0977   |
| epoch 14 |   0.0877   |
| epoch 15 |   0.0831   |
| epoch 16 |   0.0776   |
| epoch 17 |   0.0737   |
| epoch 18 |   0.0680   |
| epoch 19 |   0.0608   |
| epoch 20 |   0.0563   |
| epoch 21 |   0.0557   |
| epoch 22 |   0.0523   |
| epoch 23 |   0.0486   |
| epoch 24 |   0.0454   |
| epoch 25 |   0.0421   |
| epoch 26 |   0.0386   |
| epoch 27 |   0.0386   |
| epoch 28 |   0.0336   |
| epoch 29 |   0.0330   |
| epoch 30 |   0.0355   |
| epoch 31 |   0.0299   |
| epoch 32 |   0.0267   |
| epoch 33 |   0.0286   |
| epoch 34 |   0.0249   |
| epoch 35 |   0.0242   |
| epoch 36 |   0.0219   |
| epoch 37 |   0.0229   |
| epoch 38 |   0.0217   |
| epoch 39 |   0.0195   |
| epoch 40 |   0.0196   |
| epoch 41 |   0.0205   |
| epoch 42 |   0.0175   |
| epoch 43 |   0.0194   |
| epoch 44 |   0.0180   |
| epoch 45 |   0.0161   |
| epoch 46 |   0.0146   |
| epoch 47 |   0.0120   |
| epoch 48 |   0.0127   |
| epoch 49 |   0.0144   |
| epoch 50 |   0.0120   |
+----------+------------+
