+-----------+------------+------------+---------+-----------+
|  # Epoch  | Train_loss | Model_loss | DA_loss | Lambda_DA |
+-----------+------------+------------+---------+-----------+
|  epoch 1  |   0.4211   |   0.4211   |  0.0000 |   0.0000  |
|  epoch 2  |   0.2978   |   0.2978   |  0.0000 |   0.0000  |
|  epoch 3  |   0.2429   |   0.2429   |  0.0000 |   0.0000  |
|  epoch 4  |   0.2125   |   0.2125   |  0.0000 |   0.0000  |
|  epoch 5  |   0.1975   |   0.1975   |  0.0000 |   0.0000  |
|  epoch 6  |   0.1782   |   0.1782   |  0.0000 |   0.0000  |
|  epoch 7  |   0.1637   |   0.1637   |  0.0000 |   0.0000  |
|  epoch 8  |   0.1492   |   0.1492   |  0.0000 |   0.0000  |
|  epoch 9  |   0.1370   |   0.1370   |  0.0000 |   0.0000  |
|  epoch 10 |   1.5258   |   0.1862   |  1.3396 |   1.0000  |
|  epoch 11 |   1.5430   |   0.1708   |  1.3723 |   1.0000  |
|  epoch 12 |   1.5326   |   0.1593   |  1.3733 |   1.0000  |
|  epoch 13 |   1.4991   |   0.1424   |  1.3567 |   1.0000  |
|  epoch 14 |   1.4665   |   0.1356   |  1.3309 |   1.0000  |
|  epoch 15 |   1.4912   |   0.1352   |  1.3560 |   1.0000  |
|  epoch 16 |   1.4788   |   0.1343   |  1.3445 |   1.0000  |
|  epoch 17 |   1.4743   |   0.1347   |  1.3395 |   1.0000  |
|  epoch 18 |   1.4827   |   0.1265   |  1.3562 |   1.0000  |
|  epoch 19 |   1.4799   |   0.1112   |  1.3687 |   1.0000  |
|  epoch 20 |   1.4647   |   0.1098   |  1.3549 |   1.0000  |
|  epoch 21 |   1.4593   |   0.1124   |  1.3469 |   1.0000  |
|  epoch 22 |   1.4643   |   0.1000   |  1.3643 |   1.0000  |
|  epoch 23 |   1.4458   |   0.0922   |  1.3535 |   1.0000  |
|  epoch 24 |   1.4529   |   0.0878   |  1.3651 |   1.0000  |
|  epoch 25 |   1.4396   |   0.0818   |  1.3579 |   1.0000  |
|  epoch 26 |   1.4483   |   0.0792   |  1.3691 |   1.0000  |
|  epoch 27 |   1.4374   |   0.0739   |  1.3635 |   1.0000  |
|  epoch 28 |   1.4400   |   0.0680   |  1.3720 |   1.0000  |
|  epoch 29 |   1.4401   |   0.0664   |  1.3736 |   1.0000  |
|  epoch 30 |   1.4338   |   0.0614   |  1.3723 |   1.0000  |
