+-----------+------------+------------+---------+-----------+
|  # Epoch  | Train_loss | Model_loss | DA_loss | Lambda_DA |
+-----------+------------+------------+---------+-----------+
|  epoch 1  |   0.4211   |   0.4211   |  0.0000 |   0.0000  |
|  epoch 2  |   0.2966   |   0.2966   |  0.0000 |   0.0000  |
|  epoch 3  |   0.2431   |   0.2431   |  0.0000 |   0.0000  |
|  epoch 4  |   0.2145   |   0.2145   |  0.0000 |   0.0000  |
|  epoch 5  |   0.1952   |   0.1952   |  0.0000 |   0.0000  |
|  epoch 6  |   0.1805   |   0.1805   |  0.0000 |   0.0000  |
|  epoch 7  |   0.1656   |   0.1656   |  0.0000 |   0.0000  |
|  epoch 8  |   0.1485   |   0.1485   |  0.0000 |   0.0000  |
|  epoch 9  |   0.1360   |   0.1360   |  0.0000 |   0.0000  |
|  epoch 10 |   1.5444   |   0.1887   |  1.3557 |   1.0000  |
|  epoch 11 |   1.5518   |   0.1694   |  1.3824 |   1.0000  |
|  epoch 12 |   1.5121   |   0.1379   |  1.3742 |   1.0000  |
|  epoch 13 |   1.4941   |   0.1227   |  1.3714 |   1.0000  |
|  epoch 14 |   1.4811   |   0.1165   |  1.3646 |   1.0000  |
|  epoch 15 |   1.4913   |   0.1149   |  1.3764 |   1.0000  |
|  epoch 16 |   1.4660   |   0.1064   |  1.3595 |   1.0000  |
|  epoch 17 |   1.4897   |   0.1204   |  1.3692 |   1.0000  |
|  epoch 18 |   1.4695   |   0.1155   |  1.3541 |   1.0000  |
|  epoch 19 |   1.4146   |   0.1055   |  1.3091 |   1.0000  |
|  epoch 20 |   1.4029   |   0.1154   |  1.2874 |   1.0000  |
|  epoch 21 |   1.4429   |   0.1402   |  1.3026 |   1.0000  |
|  epoch 22 |   1.4912   |   0.1504   |  1.3408 |   1.0000  |
|  epoch 23 |   1.4107   |   0.1322   |  1.2785 |   1.0000  |
|  epoch 24 |   1.4530   |   0.1128   |  1.3401 |   1.0000  |
|  epoch 25 |   1.4391   |   0.1170   |  1.3221 |   1.0000  |
|  epoch 26 |   1.4992   |   0.1099   |  1.3893 |   1.0000  |
|  epoch 27 |   1.4270   |   0.0986   |  1.3284 |   1.0000  |
|  epoch 28 |   1.4684   |   0.1002   |  1.3682 |   1.0000  |
|  epoch 29 |   1.3874   |   0.0917   |  1.2957 |   1.0000  |
|  epoch 30 |   1.4514   |   0.1042   |  1.3473 |   1.0000  |
