+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.1886   |
| epoch 2  |   1.9544   |
| epoch 3  |   1.7533   |
| epoch 4  |   1.5809   |
| epoch 5  |   1.4616   |
| epoch 6  |   1.2809   |
| epoch 7  |   1.1379   |
| epoch 8  |   1.0411   |
| epoch 9  |   0.9521   |
| epoch 10 |   0.8825   |
| epoch 11 |   0.7863   |
| epoch 12 |   0.7660   |
| epoch 13 |   0.6987   |
| epoch 14 |   0.6478   |
| epoch 15 |   0.6039   |
| epoch 16 |   0.5821   |
| epoch 17 |   0.5369   |
| epoch 18 |   0.5227   |
| epoch 19 |   0.5038   |
| epoch 20 |   0.4915   |
| epoch 21 |   0.4749   |
| epoch 22 |   0.4396   |
| epoch 23 |   0.4820   |
| epoch 24 |   0.4177   |
| epoch 25 |   0.4408   |
| epoch 26 |   0.4132   |
| epoch 27 |   0.3801   |
| epoch 28 |   0.3506   |
| epoch 29 |   0.3726   |
| epoch 30 |   0.3420   |
| epoch 31 |   0.3445   |
| epoch 32 |   0.3548   |
| epoch 33 |   0.3377   |
| epoch 34 |   0.3200   |
| epoch 35 |   0.2789   |
| epoch 36 |   0.2946   |
| epoch 37 |   0.2988   |
| epoch 38 |   0.3034   |
| epoch 39 |   0.2793   |
| epoch 40 |   0.2424   |
| epoch 41 |   0.2645   |
| epoch 42 |   0.3055   |
| epoch 43 |   0.2570   |
| epoch 44 |   0.2544   |
| epoch 45 |   0.2535   |
| epoch 46 |   0.2268   |
| epoch 47 |   0.2107   |
| epoch 48 |   0.2192   |
| epoch 49 |   0.2377   |
| epoch 50 |   0.2374   |
+----------+------------+
