+-----------+------------+------------+---------+-----------+
|  # Epoch  | Train_loss | Model_loss | DA_loss | Lambda_DA |
+-----------+------------+------------+---------+-----------+
|  epoch 1  |   0.4267   |   0.4267   |  0.0000 |   0.0000  |
|  epoch 2  |   0.2995   |   0.2995   |  0.0000 |   0.0000  |
|  epoch 3  |   0.2476   |   0.2476   |  0.0000 |   0.0000  |
|  epoch 4  |   0.2211   |   0.2211   |  0.0000 |   0.0000  |
|  epoch 5  |   0.1967   |   0.1967   |  0.0000 |   0.0000  |
|  epoch 6  |   0.1817   |   0.1817   |  0.0000 |   0.0000  |
|  epoch 7  |   0.1683   |   0.1683   |  0.0000 |   0.0000  |
|  epoch 8  |   0.1491   |   0.1491   |  0.0000 |   0.0000  |
|  epoch 9  |   0.1372   |   0.1372   |  0.0000 |   0.0000  |
|  epoch 10 |   1.5155   |   0.1994   |  1.3161 |   1.0000  |
|  epoch 11 |   1.5618   |   0.1897   |  1.3721 |   1.0000  |
|  epoch 12 |   1.5153   |   0.1488   |  1.3665 |   1.0000  |
|  epoch 13 |   1.5079   |   0.1532   |  1.3547 |   1.0000  |
|  epoch 14 |   1.4781   |   0.1386   |  1.3395 |   1.0000  |
|  epoch 15 |   1.5095   |   0.1387   |  1.3708 |   1.0000  |
|  epoch 16 |   1.4965   |   0.1308   |  1.3657 |   1.0000  |
|  epoch 17 |   1.4941   |   0.1276   |  1.3665 |   1.0000  |
|  epoch 18 |   1.4618   |   0.1177   |  1.3441 |   1.0000  |
|  epoch 19 |   1.4672   |   0.1224   |  1.3448 |   1.0000  |
|  epoch 20 |   1.4764   |   0.1093   |  1.3670 |   1.0000  |
|  epoch 21 |   1.4524   |   0.0977   |  1.3547 |   1.0000  |
|  epoch 22 |   1.4037   |   0.0959   |  1.3078 |   1.0000  |
|  epoch 23 |   1.4337   |   0.1092   |  1.3244 |   1.0000  |
|  epoch 24 |   1.4376   |   0.1251   |  1.3125 |   1.0000  |
|  epoch 25 |   1.4172   |   0.1120   |  1.3052 |   1.0000  |
|  epoch 26 |   1.3420   |   0.1210   |  1.2210 |   1.0000  |
|  epoch 27 |   1.3852   |   0.1347   |  1.2506 |   1.0000  |
|  epoch 28 |   1.3787   |   0.1311   |  1.2476 |   1.0000  |
|  epoch 29 |   1.3295   |   0.1238   |  1.2057 |   1.0000  |
