+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6211   |
|  epoch 2  |   0.4565   |
|  epoch 3  |   0.3999   |
|  epoch 4  |   0.3670   |
|  epoch 5  |   0.3379   |
|  epoch 6  |   0.2806   |
|  epoch 7  |   0.2606   |
|  epoch 8  |   0.2437   |
|  epoch 9  |   0.2343   |
|  epoch 10 |   0.1950   |
|  epoch 11 |   0.1751   |
|  epoch 12 |   0.1750   |
|  epoch 13 |   0.1605   |
|  epoch 14 |   0.1045   |
|  epoch 15 |   0.1311   |
|  epoch 16 |   0.1052   |
|  epoch 17 |   0.0710   |
|  epoch 18 |   0.0719   |
|  epoch 19 |   0.0781   |
|  epoch 20 |   0.1093   |
|  epoch 21 |   0.1082   |
|  epoch 22 |   0.1290   |
|  epoch 23 |   0.1021   |
|  epoch 24 |   0.0511   |
|  epoch 25 |   0.0442   |
|  epoch 26 |   0.0534   |
|  epoch 27 |   0.0562   |
|  epoch 28 |   0.0343   |
|  epoch 29 |   0.0438   |
|  epoch 30 |   0.0272   |
|  epoch 31 |   0.0313   |
|  epoch 32 |   0.0392   |
|  epoch 33 |   0.0366   |
|  epoch 34 |   0.0377   |
|  epoch 35 |   0.0413   |
|  epoch 36 |   0.0307   |
|  epoch 37 |   0.0507   |
|  epoch 38 |   0.0523   |
|  epoch 39 |   0.0599   |
|  epoch 40 |   0.0329   |
|  epoch 41 |   0.0188   |
|  epoch 42 |   0.0437   |
|  epoch 43 |   0.0255   |
|  epoch 44 |   0.0171   |
|  epoch 45 |   0.0163   |
|  epoch 46 |   0.0068   |
|  epoch 47 |   0.0124   |
|  epoch 48 |   0.0158   |
|  epoch 49 |   0.0318   |
|  epoch 50 |   0.0204   |
|  epoch 51 |   0.0224   |
|  epoch 52 |   0.0210   |
|  epoch 53 |   0.0538   |
|  epoch 54 |   0.0329   |
|  epoch 55 |   0.0559   |
|  epoch 56 |   0.0306   |
|  epoch 57 |   0.0349   |
|  epoch 58 |   0.0177   |
|  epoch 59 |   0.0356   |
|  epoch 60 |   0.0383   |
|  epoch 61 |   0.0219   |
|  epoch 62 |   0.0347   |
|  epoch 63 |   0.0258   |
|  epoch 64 |   0.0110   |
|  epoch 65 |   0.0219   |
|  epoch 66 |   0.0121   |
|  epoch 67 |   0.0135   |
|  epoch 68 |   0.0193   |
|  epoch 69 |   0.0194   |
|  epoch 70 |   0.0075   |
|  epoch 71 |   0.0127   |
|  epoch 72 |   0.0266   |
|  epoch 73 |   0.0235   |
|  epoch 74 |   0.0108   |
|  epoch 75 |   0.0084   |
|  epoch 76 |   0.0051   |
|  epoch 77 |   0.0028   |
|  epoch 78 |   0.0127   |
|  epoch 79 |   0.0183   |
|  epoch 80 |   0.0156   |
|  epoch 81 |   0.0249   |
|  epoch 82 |   0.0235   |
|  epoch 83 |   0.0188   |
|  epoch 84 |   0.0138   |
|  epoch 85 |   0.0077   |
|  epoch 86 |   0.0037   |
|  epoch 87 |   0.0050   |
|  epoch 88 |   0.0049   |
|  epoch 89 |   0.0085   |
|  epoch 90 |   0.0024   |
|  epoch 91 |   0.0009   |
|  epoch 92 |   0.0011   |
|  epoch 93 |   0.0050   |
|  epoch 94 |   0.0194   |
|  epoch 95 |   0.0224   |
|  epoch 96 |   0.0138   |
|  epoch 97 |   0.0204   |
|  epoch 98 |   0.0074   |
|  epoch 99 |   0.0164   |
| epoch 100 |   0.0097   |
+-----------+------------+
