+-----------+------------+------------+---------+-----------+
|  # Epoch  | Train_loss | Model_loss | DA_loss | Lambda_DA |
+-----------+------------+------------+---------+-----------+
|  epoch 1  |   0.4138   |   0.4138   |  0.0000 |   0.0000  |
|  epoch 2  |   0.2916   |   0.2916   |  0.0000 |   0.0000  |
|  epoch 3  |   0.2452   |   0.2452   |  0.0000 |   0.0000  |
|  epoch 4  |   0.2164   |   0.2164   |  0.0000 |   0.0000  |
|  epoch 5  |   0.1973   |   0.1973   |  0.0000 |   0.0000  |
|  epoch 6  |   0.1819   |   0.1819   |  0.0000 |   0.0000  |
|  epoch 7  |   0.1643   |   0.1643   |  0.0000 |   0.0000  |
|  epoch 8  |   0.1510   |   0.1510   |  0.0000 |   0.0000  |
|  epoch 9  |   0.1350   |   0.1350   |  0.0000 |   0.0000  |
|  epoch 10 |   1.5461   |   0.1941   |  1.3520 |   1.0000  |
|  epoch 11 |   1.5430   |   0.1640   |  1.3790 |   1.0000  |
|  epoch 12 |   1.5097   |   0.1507   |  1.3590 |   1.0000  |
|  epoch 13 |   1.4944   |   0.1251   |  1.3693 |   1.0000  |
|  epoch 14 |   1.4962   |   0.1256   |  1.3706 |   1.0000  |
|  epoch 15 |   1.4961   |   0.1163   |  1.3798 |   1.0000  |
|  epoch 16 |   1.5010   |   0.1195   |  1.3816 |   1.0000  |
|  epoch 17 |   1.4707   |   0.0993   |  1.3714 |   1.0000  |
|  epoch 18 |   1.4301   |   0.0965   |  1.3336 |   1.0000  |
|  epoch 19 |   1.4338   |   0.1035   |  1.3302 |   1.0000  |
|  epoch 20 |   1.4081   |   0.1039   |  1.3043 |   1.0000  |
|  epoch 21 |   1.4192   |   0.1269   |  1.2924 |   1.0000  |
|  epoch 22 |   1.4343   |   0.1226   |  1.3117 |   1.0000  |
|  epoch 23 |   1.4135   |   0.1152   |  1.2983 |   1.0000  |
|  epoch 24 |   1.4386   |   0.1000   |  1.3386 |   1.0000  |
|  epoch 25 |   1.4226   |   0.0948   |  1.3278 |   1.0000  |
|  epoch 26 |   1.4103   |   0.1298   |  1.2805 |   1.0000  |
|  epoch 27 |   1.4349   |   0.1101   |  1.3247 |   1.0000  |
|  epoch 28 |   1.3739   |   0.1084   |  1.2656 |   1.0000  |
|  epoch 29 |   1.4217   |   0.1172   |  1.3045 |   1.0000  |
|  epoch 30 |   1.4912   |   0.1230   |  1.3682 |   1.0000  |
|  epoch 31 |   1.3752   |   0.1132   |  1.2620 |   1.0000  |
|  epoch 32 |   1.2913   |   0.1210   |  1.1703 |   1.0000  |
|  epoch 33 |   1.3071   |   0.1053   |  1.2019 |   1.0000  |
|  epoch 34 |   1.3749   |   0.1038   |  1.2711 |   1.0000  |
|  epoch 35 |   1.3858   |   0.0987   |  1.2870 |   1.0000  |
|  epoch 36 |   1.4026   |   0.1042   |  1.2985 |   1.0000  |
|  epoch 37 |   1.3262   |   0.1120   |  1.2142 |   1.0000  |
|  epoch 38 |   1.2609   |   0.1077   |  1.1532 |   1.0000  |
|  epoch 39 |   1.2496   |   0.1188   |  1.1308 |   1.0000  |
|  epoch 40 |   1.1954   |   0.1105   |  1.0849 |   1.0000  |
|  epoch 41 |   1.2510   |   0.1069   |  1.1441 |   1.0000  |
|  epoch 42 |   1.3506   |   0.1160   |  1.2346 |   1.0000  |
|  epoch 43 |   1.1829   |   0.0957   |  1.0872 |   1.0000  |
|  epoch 44 |   1.1936   |   0.0957   |  1.0978 |   1.0000  |
|  epoch 45 |   1.2381   |   0.0894   |  1.1487 |   1.0000  |
|  epoch 46 |   1.2722   |   0.0961   |  1.1761 |   1.0000  |
|  epoch 47 |   1.4885   |   0.0977   |  1.3908 |   1.0000  |
|  epoch 48 |   1.3162   |   0.0876   |  1.2286 |   1.0000  |
|  epoch 49 |   1.2113   |   0.1038   |  1.1075 |   1.0000  |
|  epoch 50 |   1.1079   |   0.1175   |  0.9904 |   1.0000  |
|  epoch 51 |   1.3066   |   0.1494   |  1.1572 |   1.0000  |
|  epoch 52 |   1.0985   |   0.1233   |  0.9752 |   1.0000  |
|  epoch 53 |   1.2421   |   0.1136   |  1.1285 |   1.0000  |
|  epoch 54 |   1.1306   |   0.1219   |  1.0087 |   1.0000  |
|  epoch 55 |   0.9544   |   0.1084   |  0.8461 |   1.0000  |
|  epoch 56 |   1.2160   |   0.1474   |  1.0685 |   1.0000  |
|  epoch 57 |   1.1811   |   0.1528   |  1.0283 |   1.0000  |
|  epoch 58 |   1.0401   |   0.1318   |  0.9083 |   1.0000  |
|  epoch 59 |   1.1213   |   0.1434   |  0.9779 |   1.0000  |
|  epoch 60 |   1.2785   |   0.1660   |  1.1125 |   1.0000  |
