+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.0648   |
| epoch 2  |   1.9208   |
| epoch 3  |   1.7315   |
| epoch 4  |   1.5453   |
| epoch 5  |   1.4472   |
| epoch 6  |   1.3310   |
| epoch 7  |   1.1975   |
| epoch 8  |   1.1245   |
| epoch 9  |   1.0488   |
| epoch 10 |   0.9614   |
| epoch 11 |   0.9344   |
| epoch 12 |   0.8820   |
| epoch 13 |   0.8230   |
| epoch 14 |   0.7989   |
| epoch 15 |   0.7213   |
| epoch 16 |   0.6996   |
| epoch 17 |   0.6890   |
| epoch 18 |   0.6506   |
| epoch 19 |   0.6286   |
| epoch 20 |   0.6056   |
| epoch 21 |   0.5846   |
| epoch 22 |   0.5487   |
| epoch 23 |   0.5145   |
| epoch 24 |   0.5008   |
| epoch 25 |   0.4986   |
| epoch 26 |   0.4680   |
| epoch 27 |   0.4554   |
| epoch 28 |   0.4790   |
| epoch 29 |   0.4405   |
| epoch 30 |   0.4084   |
| epoch 31 |   0.4224   |
| epoch 32 |   0.3955   |
| epoch 33 |   0.3769   |
| epoch 34 |   0.3628   |
| epoch 35 |   0.3556   |
| epoch 36 |   0.3654   |
| epoch 37 |   0.3429   |
| epoch 38 |   0.3328   |
| epoch 39 |   0.3631   |
| epoch 40 |   0.3316   |
| epoch 41 |   0.3293   |
| epoch 42 |   0.3053   |
| epoch 43 |   0.3179   |
| epoch 44 |   0.2795   |
| epoch 45 |   0.2924   |
| epoch 46 |   0.2661   |
| epoch 47 |   0.2509   |
| epoch 48 |   0.2577   |
| epoch 49 |   0.2633   |
| epoch 50 |   0.2512   |
+----------+------------+
