+-----------+------------+------------+---------+-----------+
|  # Epoch  | Train_loss | Model_loss | DA_loss | Lambda_DA |
+-----------+------------+------------+---------+-----------+
|  epoch 1  |   0.4238   |   0.4238   |  0.0000 |   0.0000  |
|  epoch 2  |   0.2993   |   0.2993   |  0.0000 |   0.0000  |
|  epoch 3  |   0.2481   |   0.2481   |  0.0000 |   0.0000  |
|  epoch 4  |   0.2200   |   0.2200   |  0.0000 |   0.0000  |
|  epoch 5  |   0.1985   |   0.1985   |  0.0000 |   0.0000  |
|  epoch 6  |   0.1806   |   0.1806   |  0.0000 |   0.0000  |
|  epoch 7  |   0.1658   |   0.1658   |  0.0000 |   0.0000  |
|  epoch 8  |   0.1502   |   0.1502   |  0.0000 |   0.0000  |
|  epoch 9  |   0.1396   |   0.1396   |  0.0000 |   0.0000  |
|  epoch 10 |   1.5314   |   0.1769   |  1.3545 |   1.0000  |
|  epoch 11 |   1.5248   |   0.1559   |  1.3689 |   1.0000  |
|  epoch 12 |   1.5052   |   0.1376   |  1.3675 |   1.0000  |
|  epoch 13 |   1.4996   |   0.1419   |  1.3576 |   1.0000  |
|  epoch 14 |   1.5059   |   0.1404   |  1.3655 |   1.0000  |
|  epoch 15 |   1.4743   |   0.1201   |  1.3543 |   1.0000  |
|  epoch 16 |   1.4778   |   0.1207   |  1.3571 |   1.0000  |
|  epoch 17 |   1.4599   |   0.1162   |  1.3437 |   1.0000  |
|  epoch 18 |   1.4461   |   0.1081   |  1.3380 |   1.0000  |
|  epoch 19 |   1.4545   |   0.1058   |  1.3487 |   1.0000  |
|  epoch 20 |   1.4419   |   0.1069   |  1.3350 |   1.0000  |
|  epoch 21 |   1.4469   |   0.1040   |  1.3429 |   1.0000  |
|  epoch 22 |   1.4479   |   0.0909   |  1.3570 |   1.0000  |
|  epoch 23 |   1.4492   |   0.0834   |  1.3658 |   1.0000  |
|  epoch 24 |   1.4381   |   0.0778   |  1.3603 |   1.0000  |
|  epoch 25 |   1.4587   |   0.0998   |  1.3588 |   1.0000  |
|  epoch 26 |   1.4418   |   0.0818   |  1.3600 |   1.0000  |
|  epoch 27 |   1.4163   |   0.0916   |  1.3247 |   1.0000  |
|  epoch 28 |   1.4348   |   0.0836   |  1.3512 |   1.0000  |
|  epoch 29 |   1.4384   |   0.0733   |  1.3651 |   1.0000  |
|  epoch 30 |   1.4398   |   0.0709   |  1.3689 |   1.0000  |
|  epoch 31 |   1.4115   |   0.0800   |  1.3315 |   1.0000  |
|  epoch 32 |   1.4329   |   0.0647   |  1.3682 |   1.0000  |
|  epoch 33 |   1.4129   |   0.0617   |  1.3512 |   1.0000  |
|  epoch 34 |   1.4116   |   0.0592   |  1.3524 |   1.0000  |
|  epoch 35 |   1.4188   |   0.0592   |  1.3597 |   1.0000  |
|  epoch 36 |   1.4120   |   0.0646   |  1.3475 |   1.0000  |
|  epoch 37 |   1.4207   |   0.0693   |  1.3514 |   1.0000  |
|  epoch 38 |   1.3967   |   0.0518   |  1.3450 |   1.0000  |
|  epoch 39 |   1.4069   |   0.0635   |  1.3434 |   1.0000  |
|  epoch 40 |   1.4577   |   0.0699   |  1.3878 |   1.0000  |
|  epoch 41 |   1.3690   |   0.0596   |  1.3094 |   1.0000  |
|  epoch 42 |   1.3279   |   0.0601   |  1.2678 |   1.0000  |
|  epoch 43 |   1.3310   |   0.0632   |  1.2678 |   1.0000  |
|  epoch 44 |   1.4088   |   0.0589   |  1.3499 |   1.0000  |
|  epoch 45 |   1.4022   |   0.0573   |  1.3449 |   1.0000  |
|  epoch 46 |   1.3639   |   0.0581   |  1.3058 |   1.0000  |
|  epoch 47 |   1.2535   |   0.0662   |  1.1873 |   1.0000  |
|  epoch 48 |   1.3483   |   0.0682   |  1.2801 |   1.0000  |
|  epoch 49 |   1.3430   |   0.0576   |  1.2854 |   1.0000  |
|  epoch 50 |   1.4108   |   0.0555   |  1.3553 |   1.0000  |
|  epoch 51 |   1.3691   |   0.0575   |  1.3116 |   1.0000  |
|  epoch 52 |   1.3346   |   0.0545   |  1.2801 |   1.0000  |
|  epoch 53 |   1.2612   |   0.0566   |  1.2046 |   1.0000  |
|  epoch 54 |   1.3804   |   0.0739   |  1.3066 |   1.0000  |
|  epoch 55 |   1.4190   |   0.0732   |  1.3459 |   1.0000  |
|  epoch 56 |   1.3758   |   0.0741   |  1.3017 |   1.0000  |
|  epoch 57 |   1.3589   |   0.0747   |  1.2842 |   1.0000  |
|  epoch 58 |   1.4185   |   0.0797   |  1.3388 |   1.0000  |
|  epoch 59 |   1.4000   |   0.0802   |  1.3197 |   1.0000  |
|  epoch 60 |   1.4149   |   0.0820   |  1.3329 |   1.0000  |
|  epoch 61 |   1.4018   |   0.0901   |  1.3117 |   1.0000  |
|  epoch 62 |   1.3560   |   0.0884   |  1.2676 |   1.0000  |
|  epoch 63 |   1.4000   |   0.0868   |  1.3132 |   1.0000  |
|  epoch 64 |   1.3958   |   0.0780   |  1.3178 |   1.0000  |
|  epoch 65 |   1.4012   |   0.0842   |  1.3169 |   1.0000  |
|  epoch 66 |   1.3047   |   0.0834   |  1.2214 |   1.0000  |
|  epoch 67 |   1.3277   |   0.0990   |  1.2287 |   1.0000  |
|  epoch 68 |   1.2721   |   0.0936   |  1.1786 |   1.0000  |
|  epoch 69 |   1.2354   |   0.1036   |  1.1318 |   1.0000  |
|  epoch 70 |   1.1931   |   0.1050   |  1.0881 |   1.0000  |
|  epoch 71 |   1.3618   |   0.1091   |  1.2527 |   1.0000  |
|  epoch 72 |   1.3245   |   0.1139   |  1.2106 |   1.0000  |
|  epoch 73 |   1.3416   |   0.1173   |  1.2243 |   1.0000  |
