+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.3209   |
| epoch 2  |   0.6971   |
| epoch 3  |   0.4387   |
| epoch 4  |   0.3582   |
| epoch 5  |   0.3238   |
| epoch 6  |   0.2967   |
| epoch 7  |   0.2737   |
| epoch 8  |   0.2576   |
| epoch 9  |   0.2405   |
| epoch 10 |   0.2264   |
| epoch 11 |   0.2137   |
| epoch 12 |   0.2018   |
| epoch 13 |   0.1865   |
| epoch 14 |   0.1784   |
| epoch 15 |   0.1684   |
| epoch 16 |   0.1584   |
| epoch 17 |   0.1517   |
| epoch 18 |   0.1412   |
| epoch 19 |   0.1365   |
| epoch 20 |   0.1264   |
| epoch 21 |   0.1192   |
| epoch 22 |   0.1129   |
| epoch 23 |   0.1100   |
| epoch 24 |   0.1038   |
| epoch 25 |   0.0965   |
| epoch 26 |   0.0922   |
| epoch 27 |   0.0890   |
| epoch 28 |   0.0844   |
| epoch 29 |   0.0792   |
| epoch 30 |   0.0745   |
| epoch 31 |   0.0703   |
| epoch 32 |   0.0723   |
| epoch 33 |   0.0677   |
| epoch 34 |   0.0637   |
| epoch 35 |   0.0606   |
| epoch 36 |   0.0556   |
| epoch 37 |   0.0535   |
| epoch 38 |   0.0489   |
| epoch 39 |   0.0450   |
| epoch 40 |   0.0454   |
| epoch 41 |   0.0441   |
| epoch 42 |   0.0429   |
| epoch 43 |   0.0419   |
| epoch 44 |   0.0376   |
| epoch 45 |   0.0389   |
| epoch 46 |   0.0375   |
| epoch 47 |   0.0339   |
| epoch 48 |   0.0315   |
| epoch 49 |   0.0301   |
| epoch 50 |   0.0301   |
+----------+------------+
